,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,블랙 티 레모네이드 피지오,65,17,0,0,0,30
1,쿨 라임 피지오,105,26,0,20,0,110
2,패션 탱고 티 레모네이드 피지오,65,17,0,0.2,0,0
