,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,딸기 레몬 블렌디드,235,53,1,10,0,0
1,망고 패션 후르츠 블렌디드,120,25,1,70,0,35
2,딸기 딜라이트 요거트 블렌디드,370,57,9,105,4.3,0
3,망고 바나나 블렌디드,270,48,4,110,1,0
4,민트 초콜릿 칩 블렌디드,455,52,9,180,14,0
5,제주 천혜향 블랙 티 블렌디드,370,87,1,20,0,15
6,피치 & 레몬 블렌디드,190,27,0,45,0,0
