,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,기운내라임 190ML,90,22,1,5,0,0
1,파이팅 청귤 190ML,95,22,1,5,0,0
2,한방에 쭉 감당 190ML,100,23,1,10,0,0
3,도와줘 흑흑 190ML,165,9,5,140,3.4,0
4,딸기주스 190ML,110,25,0,30,0,0
5,망고주스 190ML,117,23,1,15,0,0
6,수박주스 190ML,90,18,2,30,0,0
7,케일&사과주스 190ML,105,26,0,25,0,0
8,토마토주스 190ML,70,16,1,120,0,0
9,퍼플베리 굿 190ML,100,24,0,15,0,0
10,한라봉주스 190ML,78,16,0.5,10,0,0
11,햇사과 주스 190ML,113,27,0.2,10,0,0
12,블루베리 요거트 190ML,155,18,5,70,3.6,0
13,치아씨드 요거트 190ML,145,14,6,70,3.9,0
