,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,나이트로 바닐라 크림,75,10,1,20,2,245
1,나이트로 콜드 브루,5,0,0,5,0,245
2,돌체 콜드 브루,265,29,8,115,9,150
3,바닐라 크림 콜드 브루,125,11,3,58,6,150
4,벨벳 다크 모카 나이트로,150,17,2,15,6,160
5,제주 비자림 콜드 브루,340,44,10,115,8,105
6,콜드 브루,5,0,0,11,0,150
7,콜드 브루 몰트,510,40,10,147.8,20,150
8,콜드 브루 오트 라떼,105,11,1,95,0.3,65
9,콜드 브루 플로트,230,18,3,69,10,150
10,프렌치 애플 타르트 나이트로,80,19,0,0,0,145
