,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,시그니처 핫 초콜릿,500,52,15,105,9,15
1,아이스 시그니처 초콜릿,325,32,10,70,7,15
2,플러피 판다 아이스 초콜릿,415,39,11,150,16,20
3,플러피 판다 핫 초콜릿,470,48,12,160,17,30
4,라임 플로터 위드 리저브 CB 샷,90,20,1,5,0,60
5,스타벅스 슬래머,235,55,0,0,0,0
6,스팀 우유,215,18,13,173,7,0
7,아이스 제주 까망 라떼,440,45,10,210,11,0
8,오렌지 플로터 위드 리저브 CB 샷,105,27,0,5,0,60
9,우유,240,18,12,200,8,0
10,제주 까망 라떼,445,49,13,250,7,0
11,제주 쑥쑥 라떼,425,50,16,210,9,0
12,제주 청귤 레모네이드,235,56,0,30,0,0
